t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,7.61364295376919e-06,0,0.000614693295118726
0.15,NaN,0.764967262086829,NaN
0.2,NaN,NaN,0.247017971964854
0.35,NaN,0.605021807461537,NaN
0.4,NaN,NaN,0.545700299625595
0.5,NaN,0.395068845481801,NaN
0.6,NaN,NaN,0.656843054588416
0.7,NaN,0.464100431389739,NaN
0.85,NaN,NaN,0.648145757166086
0.9,NaN,0.224345446777805,NaN
1,NaN,0.254742215007412,0.62210043663762
1.5,NaN,0.31198816482785,0.824288039785542
2,NaN,0.238083088850043,0.777726383709356
2.5,NaN,0.203913797846668,NaN
3,0.00380717981868787,0.200871821414675,NaN
3.5,NaN,0.249252280864781,NaN
6.5,0.00218981316256951,NaN,NaN
10,0.00216162127733214,NaN,NaN
15,0.00316479377320883,NaN,NaN
20,0.00235267299929427,NaN,NaN
