t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,8.94819789886691e-05,0,0.00149609791525954
0.25,NaN,NaN,0.120202783932436
0.35,NaN,0.6680812616383,NaN
0.5,NaN,NaN,0.209827261999055
0.7,NaN,0.443059882985201,NaN
0.75,NaN,NaN,0.279256015151041
1,NaN,0.36452063428109,0.301356571688454
1.5,NaN,0.522304293638506,0.396941757234695
2,NaN,0.356644778993345,0.477905513951803
2.5,NaN,0.284593903076147,0.567775385951987
3,NaN,0.335418629107346,0.688070801695252
3.5,0.124240524466816,0.338347572310489,0.663257563620184
4,NaN,NaN,0.452639320432781
4.5,NaN,0.455717306794017,0.694810221511174
5,NaN,0.263514634993581,NaN
6,NaN,0.354680202064727,NaN
7,0.104874598306457,NaN,NaN
10,0.0760408557952113,NaN,NaN
15,0.132286572247106,NaN,NaN
