t,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs
0,-0.00214475255410777,0.000496817619340206,0.076523973665174
10,0.0462547742329471,NaN,NaN
15,NaN,0.000750831700292762,NaN
20,0.0372135185639974,NaN,0.0722332690601136
35,0.01847658570456,0.000628750501662604,0.062399803566473
45,0.0121768508788974,NaN,NaN
50,NaN,0.000408230834745978,NaN
55,NaN,NaN,0.054613222045855
60,0.0152261796651371,NaN,NaN
70,NaN,0.000911269123190886,NaN
75,0.0100609551023423,NaN,0.0860713757247164
95,0.00350251960967416,0.000828911650624586,NaN
100,0.0109658768747017,0.000605485813611153,0.114545412483434
150,0.0125846964598891,0.000508556458193873,0.0704825259585272
200,NaN,0.00075413037290763,0.0836341055425781
250,NaN,0.000727276575379299,0.0961735230725556
300,NaN,NaN,0.101383785825342
