t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,-0.304721885389185,12.1879864094172,0.807532494148685,1.17240512217136
10,NaN,NaN,27.3016890218105,NaN
15,5.73154249821181,19.6993253447597,NaN,4.44044872227525
20,NaN,NaN,18.6975753076029,NaN
30,13.7502919873105,28.011144707075,NaN,13.9928582619566
35,NaN,NaN,10.4618626059762,NaN
45,NaN,33.0322548259489,NaN,NaN
50,17.452270290603,NaN,10.583359459676,15.3191226606329
60,NaN,27.5030389040773,NaN,NaN
65,17.3875948869465,NaN,10.2386025449443,NaN
70,NaN,NaN,NaN,14.146673742515
75,NaN,28.2261601520754,NaN,NaN
85,15.1627189909231,NaN,11.9036340092169,NaN
90,NaN,NaN,NaN,15.3859302706593
95,NaN,23.3472323242988,NaN,NaN
100,16.5123781019863,22.8054309769282,10.419921903503,16.7227557793157
150,15.1138033403645,15.5292686928291,9.68850312776808,15.1537593375428
200,13.7526622123806,14.6939399820885,NaN,15.5683264481212
250,13.4808261416299,11.216905519061,NaN,12.8493085006559
300,12.8806545750643,NaN,NaN,12.5029426001593
350,NaN,NaN,NaN,13.2446213305732
