t,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00412500615207036,0.0134466187670953,0.000709236150513621,0.102311574074206
10,NaN,0.715519336259886,NaN,NaN
15,NaN,NaN,0.00159020441112484,NaN
20,0.00521276090245006,0.232693192616861,NaN,NaN
25,NaN,NaN,NaN,0.0483505654864773
30,NaN,0.195584901112622,NaN,NaN
35,NaN,NaN,0.00154488096556689,NaN
40,0.00425132314823349,NaN,NaN,NaN
45,NaN,0.0731139219980508,NaN,NaN
50,NaN,NaN,NaN,0.0728647608396561
55,NaN,0.141525533277975,0.00127014050185145,NaN
65,0.00317599948609476,NaN,NaN,NaN
70,NaN,0.0881756976951397,NaN,NaN
80,NaN,NaN,0.0017302174523834,0.161224175055233
85,0.0045584290364484,NaN,NaN,NaN
90,NaN,0.0923302043519612,NaN,NaN
100,0.0050763289908825,0.0997008514965252,0.00238511966254045,0.118864702468837
150,0.00296845209731392,0.0700279816411939,0.00150175618162702,0.149279209035666
200,0.00555442421487238,NaN,NaN,0.191633693490692
250,0.00366896026326417,NaN,NaN,0.146090658202171
300,0.00322801787341916,NaN,NaN,0.26697267449277
350,NaN,NaN,NaN,0.186480346735304
450,NaN,NaN,NaN,0.217862535386159
