t,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00179223094151084,0.000658535841005576,0.0733886923467786
15,0.0516865073478382,NaN,NaN
20,NaN,0.000765404329136135,0.06816247755221
25,0.0291388707762832,NaN,NaN
35,NaN,0.000709765299894897,NaN
40,0.0143435297086153,NaN,0.0765967032535304
55,0.0122857045236653,NaN,NaN
60,NaN,0.000736074556063012,0.069854080834262
75,0.0120990300275179,NaN,NaN
80,NaN,0.000732264621371599,NaN
85,NaN,NaN,0.0744763254326242
95,0.00968750947287816,NaN,NaN
100,0.00857205329514327,0.000655947839840214,0.0819168696324635
150,0.0072734523865581,0.00073439549175552,0.085677150247191
200,0.00949812398780278,0.000674171388088634,0.0727805639014099
250,NaN,0.000676949673553305,NaN
300,NaN,NaN,0.0841596144020934
