t,epo_level,Compound_3_Obs
12,6.6667e-07,0.00321631763308902
12,6.6667e-07,0.00376676707218839
12,1.3333e-06,0.00156638718652289
12,1.3333e-06,0.00375550296154464
12,2.6667e-06,0.0034172655215856
12,2.6667e-06,0.00373475482637765
12,5.3333e-06,0.00249313311724456
12,5.3333e-06,0.00504911417508018
12,1.0667e-05,0.00263928577351676
12,1.0667e-05,0.00342388379421098
12,2.1333e-05,0.0043857370794336
12,2.1333e-05,0.00533737521802898
12,4.2667e-05,0.00321610418753441
12,4.2667e-05,0.0040025722708658
