t,TGFb_Obs,ppS3_ppS3_S4_Obs,geneC_Obs,geneH_Obs
0,0.0138675477726273,0.0446870463204232,1.00821155315359,0.947341086080276
10,0.0362980106890784,-0.048893985587315,NaN,0.916155857675636
15,NaN,NaN,1.00047704954029,NaN
20,NaN,NaN,NaN,1.04600842435953
25,0.000397295492810442,0.0187000115432582,NaN,NaN
30,NaN,NaN,0.924771516469632,NaN
35,NaN,NaN,NaN,1.02251253710808
40,0.0468531759171215,0.0813160402671187,NaN,NaN
50,NaN,NaN,1.02833497828798,1.0375171770878
55,-0.0154990137996993,0.0153387156317349,NaN,NaN
65,NaN,NaN,NaN,0.943707163142485
70,-0.0290968376399796,NaN,1.03983160030981,NaN
75,NaN,0.00942634116991309,NaN,NaN
85,NaN,NaN,NaN,0.993045166560011
90,-0.0276040511089107,NaN,NaN,NaN
95,NaN,0.00325258251808038,NaN,NaN
100,NaN,NaN,0.970115681986897,NaN
