t,TGFb_Obs,ppS3_ppS3_S4_Obs,geneC_Obs,geneH_Obs
0,0.00566948778076674,-0.0731584350594353,0.985284787325372,1.03102713182159
10,-0.0279332681226006,0.00175123215731703,1.02546180666831,0.983690042846186
20,NaN,-0.0528810534799493,NaN,NaN
25,0.0446743176951637,NaN,1.0400278592208,0.971916938593111
35,-0.0510953318263679,0.0494425607290782,NaN,NaN
40,NaN,NaN,0.992980901944836,0.947948194257174
50,0.0399741905030169,-0.0529324006204967,NaN,NaN
55,NaN,NaN,1.03880357096572,1.0195255610164
65,NaN,0.0172563558279675,NaN,NaN
70,0.0026386535148327,NaN,0.935056714193392,NaN
75,NaN,NaN,NaN,0.980730980249992
85,NaN,0.0414527934158324,NaN,NaN
90,-0.0166550445322749,NaN,0.984329764389238,NaN
95,NaN,NaN,NaN,1.08994520803748
