t,pS2_Obs,ppS2_ppS3_S4_Obs
0,-0.152146014833499,-0.0228777750151052
20,NaN,1.99220173347487
35,8.56637635407755,NaN
45,NaN,2.64480788673191
65,NaN,2.34047439688453
70,8.88837946673778,NaN
90,NaN,2.10127338129023
100,7.29588873731279,1.77060971633109
150,5.02373271859027,1.12687073237157
200,2.8437906320308,0.615852251262673
250,1.59032487286627,0.283829523188564
300,0.807441148929907,0.104820629423026
350,NaN,0.092458207980118
400,0.301900620789801,0.0270732205934003
450,0.270888060631393,NaN
550,0.157682820593167,NaN
