t,TGFb_Obs,pS3_Obs,geneC_Obs,geneH_Obs
0,1.00192333736232,0.246652973770315,1.02895439827475,1.0574038438708
25,0.632934212221893,NaN,NaN,NaN
45,NaN,29.7951063165741,NaN,NaN
55,0.400512098016714,NaN,NaN,NaN
70,NaN,NaN,NaN,3.70168355772618
75,NaN,NaN,1.11831577702956,NaN
80,0.258514255338622,NaN,NaN,NaN
95,NaN,23.8276512122717,NaN,NaN
100,0.175924371590932,NaN,NaN,NaN
150,0.110654248114499,14.9618913605196,1.33637486163051,3.66323252247859
200,0.0249660260891725,8.90787814999064,NaN,NaN
250,0.0288725277091484,5.11045446288435,1.34762494475712,3.52231400900267
300,NaN,2.44496913894612,NaN,3.60685003940526
350,-0.0117951215460513,NaN,1.41195304784297,NaN
400,0.00470775345492893,1.14285360340546,1.33638412072422,3.21218776720883
450,NaN,-0.112433428855276,NaN,NaN
500,0.020115647867366,NaN,NaN,2.80838608462218
550,NaN,0.137408188732997,1.16730361401382,NaN
650,NaN,-0.753008902572581,1.06321518558259,3.54393563519146
800,NaN,0.0818688300454346,1.05926734876844,1.50911814696428
950,NaN,0.198469588199819,NaN,NaN
1000,NaN,NaN,1.02188025399896,1.09049690169612
1500,NaN,NaN,1.0270176448975,1.12759791058998
