t,pS2_Obs,pS3_Obs
0,0.0134256291519271,0.00342269619343704
40,0.0866258570251292,NaN
50,NaN,0.0288122922260706
80,-0.111892635121634,NaN
100,0.0593186913066054,0.00163182315146497
150,0.0177657949006407,0.00847572449957097
200,0.0136410155980555,-0.00983936027979927
250,-0.0142931964565002,NaN
300,NaN,-0.00443574834781232
350,-0.072646104028575,0.0308382924562515
400,0.0164907359296651,NaN
450,NaN,-0.0397814114389751
500,-0.0259387760406127,NaN
600,0.0264908307707396,0.0302058577533111
700,NaN,-0.0145888270922054
