t,TGFb_Obs,pS3_Obs,geneC_Obs,geneH_Obs
0,0.977434586938699,-0.00509967087350703,0.914767597795906,1.27992358741889
25,0.616457426550674,NaN,NaN,NaN
50,0.428757470784036,NaN,1.2603664735806,NaN
55,NaN,NaN,NaN,3.17846508877976
60,NaN,1.80975572105081,NaN,NaN
75,0.268104407747473,NaN,NaN,NaN
100,0.197253992874202,1.48332930584423,1.53689736314431,3.15207461523954
150,0.0820745609697662,NaN,1.59931659533266,3.39817668117831
200,0.0513619560802043,0.586930975535333,1.63441706745103,NaN
250,-0.013347557620474,0.282052600777872,1.60271359256278,4.10784451292557
300,NaN,NaN,NaN,4.51673283077494
350,0.0130109469596332,0.0930004684799805,1.32826171419513,NaN
400,-0.000643679888753981,NaN,NaN,5.57340666453722
450,NaN,0.0128008515833913,1.21975008539481,NaN
500,NaN,NaN,1.09109113598848,6.30614824437081
550,NaN,0.0106626887983683,NaN,NaN
600,NaN,NaN,NaN,6.44509149666762
650,NaN,NaN,1.06295721801033,NaN
700,NaN,-0.00219415935581443,NaN,3.76613189630226
750,NaN,NaN,1.02859495916551,NaN
850,NaN,NaN,NaN,1.7063922020851
900,NaN,0.0163747011175408,0.963622735392639,NaN
1000,NaN,-0.0414264732860775,NaN,NaN
