t,TGFb_Obs,pS3_Obs,geneC_Obs,geneH_Obs
0,1.00002823068851,0.00223132398444773,1.04660730808716,0.761818628451333
30,0.577277865302771,NaN,NaN,NaN
45,NaN,NaN,1.25972015701422,NaN
60,0.360261928114866,NaN,NaN,NaN
65,NaN,1.79091301216553,NaN,NaN
80,NaN,NaN,NaN,3.06827827405372
90,0.228840147353286,NaN,1.50590269108153,NaN
100,0.172996504562936,NaN,NaN,NaN
150,0.0816432001424581,0.917519322507846,1.76895224681147,2.95152418910787
200,0.0594095994614942,0.559417638930222,1.62068292560599,NaN
250,0.0230437312973439,0.31287596085811,1.40882638853266,3.61478698694762
300,0.00197293639287763,NaN,1.39159513984843,NaN
350,NaN,0.092707945792451,NaN,4.31971556120236
400,0.000107071373007593,NaN,1.29220667522731,NaN
450,0.00314475452749247,0.0203764458983958,1.2770641415864,6.10633403204736
550,NaN,0.0204700642020134,1.11242198960967,NaN
600,NaN,NaN,NaN,4.95654418881005
700,NaN,0.00102940123690449,0.986380523787158,NaN
750,NaN,NaN,NaN,2.12635066596204
800,NaN,-0.0163163824589791,0.962639695551981,NaN
900,NaN,NaN,NaN,1.13216885392603
1000,NaN,0.0111979223661623,NaN,1.03864948928503
1500,NaN,-0.000948404530896219,NaN,0.66388020259616
