t,pS2_Obs,pS3_Obs,ppS2_ppS3_S4_Obs
0,-0.148120899441478,0.0106986151157612,-0.0144914682072959
25,13.9087543120059,NaN,NaN
30,NaN,NaN,2.29896593880342
35,NaN,2.61270671352656,NaN
55,18.6089478999704,NaN,NaN
65,NaN,NaN,2.14935112387369
70,NaN,2.57606583318348,NaN
85,15.7801815595422,NaN,NaN
95,NaN,NaN,1.91237585411496
100,14.9075605736613,2.02936906375186,NaN
150,9.82547740658464,1.34860323640909,1.27987398882783
200,5.24467422204217,0.861975425511332,0.713931987588659
250,3.56838126432289,0.245875144070946,0.417903956742608
300,0.631760034138628,NaN,0.225535421210598
350,NaN,-0.00586467269141441,NaN
400,NaN,NaN,0.0665237991321107
450,NaN,NaN,-0.00897367846053197
550,NaN,NaN,-0.0271322574470641
