t,TGFb_Obs,ppS2_ppS3_S4_Obs,geneC_Obs,geneH_Obs
0,1.0152430670338,0.0177700269892206,0.952831694584323,0.969236347752046
20,NaN,2.34717071245489,NaN,NaN
30,0.592223540499474,NaN,NaN,NaN
35,NaN,2.96302778102192,NaN,NaN
55,NaN,2.73981987838137,1.29589769931544,NaN
65,0.338303282346795,NaN,NaN,3.42110000022162
75,NaN,2.38862920825632,NaN,NaN
95,0.215536494728035,NaN,NaN,NaN
100,NaN,1.89642449835175,1.47383472661017,NaN
150,0.0817639417353914,1.31968775122528,1.531606560007,3.82118766071332
200,0.0482207102909963,0.80712194770866,NaN,4.25259302155914
250,0.0213893868861137,0.289382044645593,1.44617727208855,NaN
300,0.00265303437026756,0.196347434482177,1.29257992828952,5.21262868627838
350,NaN,0.153247621420293,NaN,5.6637721563904
400,-0.00551149951873692,NaN,1.21328460252591,NaN
450,-0.00289164716933303,NaN,NaN,7.12403770613893
500,NaN,NaN,1.10791231940429,NaN
550,0.00267839551742897,NaN,NaN,6.57116872265813
600,NaN,NaN,0.986014453813833,NaN
700,NaN,NaN,NaN,3.41918526781422
750,NaN,NaN,1.02068584735375,NaN
850,NaN,NaN,NaN,1.43528770447442
900,NaN,NaN,0.954651891083293,NaN
1000,NaN,NaN,NaN,1.06112643089614
1500,NaN,NaN,NaN,1.01273812938364
