t,TGFb_Obs,ppS3_ppS3_S4_Obs,geneC_Obs,geneH_Obs
0,0.0228022019093057,0.0409811972838923,0.928822243375787,0.958507469431407
10,0.0814228777818347,NaN,0.983683983478403,1.09142304061017
15,NaN,-0.040213267046162,NaN,NaN
20,NaN,NaN,1.07972035519307,NaN
25,0.0330113548373856,NaN,NaN,1.03153876341801
30,NaN,-0.0525974144084952,NaN,NaN
35,NaN,NaN,0.974127742702536,1.01497950277553
40,-0.00976727472940714,NaN,NaN,NaN
45,NaN,0.0131225133224373,NaN,NaN
50,NaN,NaN,0.953751672247836,1.0438882830088
55,-0.0618352608727123,NaN,NaN,NaN
60,NaN,-0.00137891254164887,NaN,NaN
65,NaN,NaN,0.945963570731562,NaN
70,-0.0684084210313453,NaN,NaN,1.02802672768351
80,NaN,-0.00479403188071168,NaN,NaN
85,NaN,NaN,1.0015802497109,NaN
90,NaN,NaN,NaN,0.945465430820738
95,0.0662617604568773,NaN,NaN,NaN
100,NaN,0.0564150417598187,NaN,NaN
