t,TGFb_Obs,ppS3_ppS3_S4_Obs,geneC_Obs,geneH_Obs
0,0.0480251106607553,-0.0471106027370796,1.03577756106939,1.01100372486764
10,NaN,-0.0111531089356261,0.991952443640235,1.03869239429714
15,-0.050387049496819,NaN,NaN,NaN
20,NaN,0.071893704216819,1.00250526704464,1.02493844778493
30,-0.100385353950548,0.0104995465448189,NaN,1.00986982761215
35,NaN,NaN,0.983944788389828,NaN
45,NaN,-0.0152160296454463,1.03674432731306,1.03879229056709
50,0.104815128221266,NaN,NaN,NaN
55,NaN,NaN,NaN,1.02895550338871
60,NaN,0.00726616623325292,NaN,NaN
65,NaN,NaN,0.996527045643293,NaN
70,-0.0308049150812392,NaN,NaN,0.972736286229958
75,NaN,0.0236229336003865,NaN,NaN
80,NaN,NaN,0.925005939811209,NaN
90,NaN,NaN,NaN,0.980218689310483
95,0.00628278828770329,NaN,NaN,NaN
