t,Naive_Obs,EarlyEffector_Obs,Memory_Obs
0,19545.4536409651,3.29667033000534,9.80663996481398
1.5,NaN,98.1373287608793,NaN
2.5,676.940433791971,NaN,NaN
3.5,NaN,779.968564583213,22.6284863245537
5,108.466537770213,NaN,NaN
5.5,NaN,5741.43215762072,NaN
7,NaN,NaN,183.015014387651
7.5,40.075410012917,57929.1127804415,NaN
10,8.65766629840091,33744.8877677799,1741.69419529797
15,5.1406399736397,1421.65085209223,9288.3256821822
20,9.10625465512015,NaN,10332.5135078943
25,NaN,NaN,4692.96503902069
30,NaN,NaN,7438.06136028224
40,NaN,NaN,22806.8962864343
45,NaN,NaN,32088.427107895
55,NaN,NaN,6238.01874387467
70,NaN,NaN,28954.7080296393
