t,ApoER2_re_Dab1_Obs,pApoER2_re_Dab1_Obs
0,4.60759304056152e-08,-0.00260288456220001
20,0.000118232992143888,NaN
25,NaN,0.0548742854943516
40,6.41286938408392e-05,NaN
55,NaN,0.0399617873312169
60,4.00957904673882e-05,NaN
85,2.22065408191882e-05,0.0226004274421243
100,2.35604839977102e-05,0.0155074194758224
150,1.0371601130225e-05,0.00279536121432285
200,1.09447595835922e-05,0.00187402417800048
250,-8.48166726011858e-07,-0.000283944288868271
300,NaN,0.00082549593929719
350,NaN,0.00169355956515824
400,NaN,0.000854569208555227
