t,PI4K3B_Obs,PI4K3Ba_Obs,CERT_Obs
0,1834396.8060109,46982179.1119045,-2708897.58908099
2,54576325.1141732,NaN,NaN
3,NaN,111504466.527594,NaN
3.5,NaN,NaN,-276781.50175155
4.5,71417705.4600381,NaN,NaN
5.5,NaN,130466493.11818,NaN
6.5,57032734.1336809,NaN,NaN
7.5,NaN,NaN,1197619.54008764
9,NaN,102328196.364676,NaN
9.5,63776730.5599426,NaN,NaN
10,NaN,152326771.59821,3218578.66805119
15,71786493.1854058,162660348.377041,6435026.83806975
20,60413150.3821492,179002254.765861,6967809.5191166
25,48109256.3088843,273179718.946929,19055714.1911297
30,NaN,207357730.86276,NaN
35,NaN,240223098.368234,18154790.1871666
40,NaN,NaN,19932193.3060817
45,NaN,285664017.310248,NaN
50,NaN,NaN,24648708.7401711
55,NaN,333216476.908553,NaN
65,NaN,NaN,22284313.77796
