t,PKD_Obs,PI4K3B_Obs,PI4K3Ba_Obs,CERT_Obs
0,652634.501240135,587763.60989993,315092.97039617,271653.416994386
3.5,668122.224882146,468511.182702903,480873.597541902,998124.289771933
6.5,NaN,NaN,1283284.58322305,NaN
7,NaN,NaN,NaN,1641649.87561389
7.5,505286.465296808,577063.24218978,NaN,NaN
10,663395.949998445,526855.145961168,1416423.41050363,3204773.61186723
15,600990.001009563,549429.261496754,1562961.05023842,4095605.04973292
20,550764.186428144,518263.46371848,1408504.85763174,4221462.26335662
25,551560.054401414,557603.372301795,1462493.58742802,4568168.67897764
30,NaN,648984.671371894,1327106.15409832,3829671.76746619
35,505459.233705219,NaN,1316254.06387751,4326526.50043208
40,NaN,587923.469341279,NaN,NaN
45,570080.573167309,476088.222346304,1294963.97332049,5054929.39052212
55,502037.608595336,657280.862894078,1324475.79464769,4692167.98865823
65,582768.057977572,644940.350399506,1434893.16494899,4730040.4229082
