t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00196449886684708,0.00266752376908039,0.076375756824919,0.00735768136307592,0.661123058240741,0.011976015486308,0.00517004837027025,0.00214659431929929
0.3,0.000127834156188156,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.65,-2.62512547765511e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2.76891868635954e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,-5.55267143053506e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-5.53684190146061e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,1.74970870280449e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,4.29121456109783e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.00658478648017133,NaN,0.0107135349397147,NaN,NaN
4,NaN,0.000895758145749516,0.073843280064764,NaN,0.787103309128186,NaN,0.00670836036856965,0.0022883115282096
6.5,NaN,NaN,NaN,NaN,NaN,0.0129408064277595,NaN,NaN
7,NaN,NaN,NaN,0.00479663099159098,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.520619323110032,NaN,NaN,NaN
8,NaN,0.000745907584659495,0.0613814941414936,NaN,NaN,NaN,0.00725866070150477,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00214510163466739
10,NaN,NaN,0.0523634701097687,0.00580642891158079,0.604116781246622,0.0108346964706505,NaN,NaN
15,NaN,0.000475470964341337,0.0429238391596092,0.00567781771690301,0.64526903863238,0.0120757049306725,0.00711915527544342,0.00225656654529303
20,NaN,0.00027039709586389,NaN,0.00634595625849178,0.561935801329733,0.00985344524762526,0.00607107733780497,0.00190699243312082
25,NaN,0.00027284300446674,0.0189310787724202,0.00591501813841332,0.55395358356337,0.0102613763493153,0.00769935015110955,0.0023635600118372
30,NaN,0.000121831501545001,0.0202237298942494,0.00468325205082528,NaN,0.0120466452984443,0.00874312720893658,0.00207089371665492
35,NaN,NaN,NaN,0.00527477818696783,0.67456379999409,0.0138607421666177,NaN,NaN
40,NaN,0.000319314516290817,0.0186970771077734,NaN,0.7148097422954,NaN,0.00663140088000792,0.00252767207874564
45,NaN,NaN,NaN,0.00685511255826677,NaN,0.012157613858511,NaN,NaN
50,NaN,0.000109748810114461,0.0095017043724041,0.00684458707991125,0.643408794645056,0.0112811967367824,0.00641599056319276,0.00216118157043784
60,NaN,9.77130318254064e-05,0.0136192268340196,0.00521895249080213,0.703165237682381,0.0118121202444718,0.00756185773972389,0.00235947141351377
