t,IR2_Obs,IR2in_Obs,Uptake1_Obs,InsulinFragments_Obs
0,0.0468650065096863,0.0696962708849274,0.0991462554018785,-0.065652966588301
9,NaN,0.00301172899296711,NaN,NaN
10,0.0645456462662521,NaN,-0.0236148966042181,-0.0569161376295604
20,-0.0457877661818295,-0.0550172216737106,-0.161411136375081,-0.0266032079794271
30,-0.0460749324381764,0.121552402829253,0.105708327793233,0.0978824985714133
40,0.144724744566248,0.0493458793540333,0.0387412328323984,-0.0403102702299014
50,NaN,0.12029474442162,NaN,NaN
55,0.02825835821072,NaN,0.204122339508132,-0.105805697302372
60,NaN,0.0177248637613009,NaN,NaN
70,0.0574370018002512,NaN,0.023412830088199,-0.16497146890065
75,NaN,-0.0513081620905773,NaN,NaN
85,0.0520380428181627,NaN,0.0894413621504519,-0.035837502037948
90,NaN,0.0292174281264002,NaN,NaN
100,0.133444264573525,0.0739529221216623,-0.0168291696955214,-0.108445578987162
150,0.0360583704660696,-0.0778209730144642,-0.00683553752099267,0.0235790564803006
200,-0.0916375531137866,0.0798510377212413,0.00375593021745686,0.0865900986288401
