t,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,IR2in_Obs,BoundUnspec_Obs
0,36.6118981203301,878.527294341486,0.728148421285008,0.0262046174527077,91.4943525588178,-123.256127948855
3.5,10.0727123087973,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,11.752988855386,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,7459.43701646436
7.5,6.95451162174511,235.593758358569,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,473.339138170089,NaN
8.5,NaN,NaN,NaN,23.2207089202868,NaN,NaN
9,NaN,NaN,7.16446430545732,NaN,NaN,NaN
10,5.57715213606595,NaN,NaN,NaN,NaN,7449.32312190272
15,3.91123006758478,183.679130553853,5.67836507694658,29.2830618023778,603.155695974017,NaN
20,2.93070654229296,203.273155308711,4.82695261156593,NaN,NaN,7233.71012231413
25,3.88929234095309,NaN,4.85894682839311,28.1987035555417,604.071232277824,7801.82758437431
30,NaN,150.046835468104,4.61543573687418,NaN,NaN,7649.58868771649
35,4.75824584396498,NaN,NaN,28.0320330789292,550.525392637819,NaN
40,NaN,174.201951953081,5.38693466570793,NaN,NaN,7317.27041122671
45,3.1692036434946,NaN,NaN,27.7427607590842,588.457216621973,7333.25356651661
50,NaN,210.965535900704,5.59636227720806,NaN,NaN,NaN
55,2.69916739716957,NaN,NaN,NaN,571.956963341375,7505.48943255756
60,NaN,158.506622788614,5.20793612689636,26.1472673757082,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,5999.86430093722
70,NaN,200.48907533181,NaN,28.1290141982773,570.716807208606,NaN
75,NaN,NaN,4.57012743745304,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,6637.2880676386
85,NaN,184.503781487444,NaN,27.1422372750434,545.012831321048,NaN
90,NaN,NaN,NaN,NaN,NaN,5836.80797793536
100,NaN,165.223650890033,NaN,26.4618348685901,595.52049777371,6086.63011986379
150,NaN,229.756503875942,NaN,27.3830050640697,685.750156867044,5739.19760609632
200,NaN,235.864917394232,NaN,24.6959354846162,539.663208416965,6547.37651100518
