t,IR2_Obs,Uptake1_Obs,InsulinFragments_Obs
0,0.000204316292844669,0.000393038969964787,-0.0051505875109511
8,0.0414976640817763,NaN,NaN
10,NaN,0.0189090528198436,0.0120593161550298
15,0.0410336821254431,NaN,NaN
25,0.0358820712519553,0.0316718001227357,0.0532584212759724
35,0.0322678398131862,0.0288760964455073,0.0774053154159695
45,0.0288402698372174,NaN,NaN
50,NaN,0.0341444743467309,0.136395980538384
55,0.0303399441751665,NaN,NaN
60,NaN,NaN,0.243406439100044
65,0.0272348909776108,0.048279973435438,NaN
80,0.0253470958208533,0.0354897523014417,0.280359599879263
95,0.0235114740847054,NaN,NaN
100,0.0284804776007715,0.0492656065643474,0.347176029417563
150,0.0195035078715221,0.0486279054729162,0.525587569067751
200,NaN,0.062123298677265,0.62376633050755
