t,IR2_Obs,IR2in_Obs,Uptake1_Obs,InsulinFragments_Obs
0,0.0307826358861888,0.270928336238336,-0.0476665856976203,0.0163250739219728
8,0.445816749487659,NaN,NaN,NaN
10,NaN,1.26533282158343,0.161962694782065,0.34117523807833
15,0.392977241428081,NaN,NaN,NaN
20,NaN,1.94398841062662,0.240627776537406,0.442554614340581
25,0.324343008446309,NaN,NaN,NaN
30,NaN,1.66821025021648,NaN,NaN
35,0.333419520488943,NaN,0.297315622536299,1.0994779177968
45,0.246457104894161,1.95886343735075,0.272651291487865,1.56902296348965
55,0.296787993095249,1.62912589948331,NaN,NaN
60,NaN,NaN,0.336816371005691,2.22307436474138
65,0.300767076470363,NaN,NaN,NaN
70,NaN,1.8360603665392,NaN,NaN
75,NaN,NaN,0.433120785893562,NaN
80,0.223994421841764,NaN,NaN,2.47985678567053
85,NaN,1.704783738371,NaN,NaN
95,NaN,NaN,0.520367350898629,3.31738926804862
100,0.301398983161076,1.33881955287932,0.461095528347503,3.34289201002613
150,0.16624650690278,1.13384418971615,0.624600657990946,4.614509589705
200,NaN,1.04049322961037,0.660294501728739,6.03082796031478
