t,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,IR2in_Obs,BoundUnspec_Obs
0,39.8895942665869,838.859007010013,-0.0716789739229386,-0.133282062386091,0.273307032450286,-3.86205437348722
5.5,NaN,NaN,0.486340055062965,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,72.8535670704872
9.5,NaN,NaN,NaN,NaN,9.06255341784374,NaN
10,36.9001139346225,801.094273039911,0.419264145660901,0.81011543573852,NaN,62.5263696956136
20,38.7966658944244,976.007912175894,0.351385604800568,1.54256343619464,17.7153139546817,56.3372633834689
25,NaN,NaN,0.345829200751622,NaN,NaN,68.8113860520762
30,33.3238646203292,943.884149876676,0.333727346395415,1.4508634002227,18.5780337714181,54.5076404587849
40,NaN,NaN,0.303385455960483,1.58352946942729,20.6184589145778,51.1893570561685
45,34.7104532314546,717.517603212993,NaN,NaN,NaN,NaN
50,NaN,NaN,0.288367572198379,NaN,21.8875632293376,47.3007356716797
55,36.2002274239853,941.571618126052,NaN,1.56349180619074,NaN,NaN
60,NaN,NaN,0.296686773668344,NaN,NaN,54.2239368334922
65,NaN,NaN,NaN,NaN,18.1627108771126,NaN
70,35.5377181801571,894.083243067946,0.252669378051427,1.45576521639221,NaN,39.403137104468
75,NaN,NaN,NaN,NaN,18.6398332274554,NaN
80,NaN,NaN,NaN,NaN,NaN,34.1055870075407
85,36.10735773247,799.625117600349,0.291510421624564,1.46363439197299,NaN,NaN
95,NaN,NaN,NaN,NaN,13.7654778543683,41.4572237746408
100,28.2380484124928,765.394306270322,0.14557061788356,1.47209967102479,16.3903554953411,31.1392788358985
150,26.2594290900202,705.686995557539,NaN,1.22529080348232,11.9154909485757,25.337626265059
200,34.1589487524113,885.613349199126,NaN,0.813394882970345,9.48105745999602,NaN
