t,IR2_Obs,Uptake1_Obs,InsulinFragments_Obs
0,1.02126388121908e-05,-0.000115193968606772,0.00311468878368572
8.5,0.00442318015963632,NaN,NaN
10,NaN,0.00112211511500315,0.00420059412838213
15,0.00398994802405222,NaN,NaN
25,0.00361156904748495,0.00251750453419587,0.00763907126571928
35,0.00343265092372859,0.00283274686086324,0.00778451597383847
45,0.00333600540820979,NaN,NaN
50,NaN,0.00355546076917138,0.0210389199861688
60,0.00289285256085485,NaN,NaN
65,NaN,0.00355851662541835,0.022424389318565
70,0.0028596279131628,NaN,NaN
80,NaN,0.00398216335154714,0.0306166979335838
85,0.00220554044665132,NaN,NaN
100,0.0021953752727147,0.00471811828081905,0.0315032781850927
150,0.00157638178045441,0.00500252160043123,0.0483476693576177
200,NaN,0.00585543587157147,0.0591166771737532
