t,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,BoundUnspec_Obs
0,31.962990941909,935.590128604093,-0.0690093658045463,0.192020643017343,-24.7271902010701
5.5,NaN,NaN,NaN,NaN,680.052580785333
8,NaN,661.626954325772,NaN,NaN,NaN
8.5,NaN,NaN,3.10578624140655,NaN,NaN
9,28.4425939312567,NaN,NaN,6.44842202995929,NaN
10,NaN,NaN,NaN,NaN,694.755142585722
15,NaN,664.121342864909,2.99948264076068,NaN,710.118015802591
20,20.9030149656481,NaN,NaN,10.9826900616288,567.526259852113
25,NaN,700.479054324613,2.54936453823105,12.1746827913844,NaN
30,23.9254781565015,NaN,NaN,NaN,563.330074706237
35,NaN,615.131053836319,2.51567054845392,9.33993419745613,596.18705822677
40,20.2630401835739,NaN,NaN,NaN,604.210185093225
45,NaN,594.794480120502,2.06325687088761,NaN,NaN
50,19.8867494511294,NaN,NaN,11.9836690199798,474.285299377107
55,NaN,688.626001404192,NaN,NaN,NaN
60,23.0624268746467,NaN,1.80656168338084,10.746630466349,466.941242064898
65,NaN,691.494572789151,NaN,NaN,NaN
70,NaN,NaN,1.71831217325427,NaN,426.910168159448
75,27.7667335697449,NaN,NaN,12.9905351732499,NaN
80,NaN,702.82174812582,NaN,NaN,475.071255801707
90,22.3855818268614,NaN,1.95049208991113,9.048828720915,NaN
95,NaN,755.918422029318,NaN,NaN,425.698740892599
100,25.9522515708365,669.84517750387,1.86441777602309,11.9212396252673,473.784923777951
150,24.4584475913643,687.457175408941,1.47655032056213,8.94098580807344,365.34978441657
200,26.0410435232044,740.003912628079,NaN,8.17233029766811,NaN
