t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,20944348.8862028,19723931.6077225,-417640.008488108,-498895.831288894,-8220.91315513738,9758.96681339076,1418872.68054123,-433949.726205254
35,NaN,NaN,NaN,NaN,NaN,NaN,8325320.84025247,NaN
40,NaN,NaN,2066806.01924769,9806106.0177391,NaN,7121557.85627113,NaN,NaN
45,NaN,14992672.1906437,NaN,NaN,2298927.14134339,NaN,NaN,6911324.51659343
50,8632183.44959354,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,6927581.79582067,NaN
75,NaN,NaN,NaN,NaN,NaN,5918939.6429601,NaN,NaN
80,NaN,NaN,2517173.67909136,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,8252869.36583272,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,2533263.51005888,NaN,NaN,NaN
95,NaN,5094392.61574396,NaN,NaN,NaN,NaN,NaN,5488882.14815009
100,3293894.11920141,NaN,NaN,NaN,NaN,4626225.97707556,4475885.18118475,NaN
150,-1188499.57016724,833125.232846697,744456.72999679,3967074.40194662,1485707.8729109,2466077.42028206,1786054.31479544,2159252.30593905
200,879869.757049376,1019058.2851293,508399.683048189,NaN,273579.575879205,1819179.61105078,1033109.42391582,1119740.10538999
250,NaN,-837952.38594929,NaN,828064.860054264,374958.817799958,590565.573124942,-477313.015530229,635915.298766619
300,-988467.753706763,1318756.71136809,109979.22510064,407559.863178436,NaN,583761.362419916,166764.146381183,NaN
350,NaN,NaN,-15750.4716307329,-18111.5688627964,369013.039816402,NaN,564738.031395546,-64301.8650141368
400,-1103624.80445395,-291090.459588158,NaN,381669.065301046,-55442.2752403246,305607.257829667,-169241.520390005,359065.276528415
450,NaN,NaN,25850.5196097798,NaN,NaN,-46909.1672884436,NaN,NaN
500,159968.889198226,987749.070054233,NaN,-233102.171564522,71881.68512856,NaN,302822.079029072,207199.475865399
550,NaN,NaN,-134957.732576972,NaN,NaN,-74536.1790552809,747006.123380837,NaN
600,NaN,902828.882723733,NaN,-193081.977019892,207207.525437377,NaN,NaN,-146052.992323217
650,NaN,NaN,1660.12725481944,NaN,NaN,493783.465765937,NaN,NaN
700,NaN,-943421.149697375,NaN,NaN,NaN,NaN,828767.878900686,NaN
750,NaN,NaN,NaN,-553213.390668905,40758.9295634894,-125907.387795158,NaN,411729.024499172
850,NaN,-1900389.7508118,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,-60255.0252165006,NaN,NaN,NaN,63042.4929271735
