t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,21526826.6216661,19673401.0404648,-82507.3766867268,131505.055148651,-44402.8029801986,-98772.2784917061,132800.025452617,-215933.788063244
80,NaN,14233073.7627295,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,557200.537582438,NaN,NaN,NaN,1314939.89274271,NaN
100,14129738.8437051,NaN,NaN,NaN,539113.840620029,1451003.75531218,NaN,1711104.34935336
150,NaN,13840205.9353732,NaN,2069815.99698957,NaN,NaN,NaN,NaN
200,NaN,NaN,471760.797118776,NaN,NaN,NaN,1118837.49636352,1203696.16245434
250,4271059.40788589,8949134.79678998,NaN,1324568.33838727,426635.806097641,1069888.15960413,NaN,NaN
300,NaN,NaN,279435.519346268,NaN,NaN,NaN,840353.560557536,NaN
350,3534762.14836212,5707795.35313422,NaN,NaN,230618.240093929,692281.863988774,NaN,749448.434094838
400,NaN,NaN,141074.841334368,680209.541217738,NaN,NaN,572890.785112698,NaN
450,NaN,3705206.72974739,NaN,NaN,NaN,NaN,NaN,459541.677798843
500,1582542.04049154,NaN,NaN,NaN,59801.8233169263,420497.56714562,NaN,NaN
550,NaN,2466454.1052025,121587.033159205,268454.606474079,NaN,NaN,314189.970698765,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,256357.488463674
650,-178.575065696379,4388997.422531,120647.177204833,NaN,63138.6122106688,54219.6955412011,152100.77027992,NaN
700,NaN,NaN,NaN,199591.6658626,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118631.674286236
800,NaN,-2234878.11134243,NaN,NaN,61615.150140387,-13302.5881990921,131181.590576598,NaN
850,701919.120562654,NaN,34416.0044454422,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,-85842.6126097721,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,87047.6669287143,NaN,47961.0375828739
1000,1510803.18211547,1481188.01588256,-66435.113005834,319256.106878904,-17215.7024035312,37248.0140567211,24768.4558485153,210825.828906383
1500,-2951188.61697047,-2095133.59358553,45340.2960865724,-53868.7693507239,-3659.79620995245,16251.8306566242,30847.9351498992,-96012.6821598376
2000,-1303894.96010877,NaN,-28461.6061994006,-95238.0700868912,-79527.2819813715,36284.9397244912,-55695.2873323567,-144790.701438683
2500,NaN,NaN,NaN,59190.4549425502,NaN,18384.2286549295,NaN,NaN
