t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,19632164.5697726,23962666.2940393,-7988.44188592728,-48543.05844196,-15653.3316887984,86972.0961067804,10429.0170977761,-4178.97397951509
150,11804814.3131448,15155527.2237277,NaN,756264.872995685,NaN,407647.298709513,508554.558472687,NaN
200,NaN,NaN,NaN,NaN,163009.398074498,NaN,NaN,432530.959497379
250,10447650.4250918,NaN,155586.79925438,NaN,NaN,NaN,NaN,NaN
300,NaN,8012375.38818193,NaN,452654.322780615,NaN,337651.863913351,NaN,NaN
350,NaN,NaN,NaN,NaN,127362.986149904,NaN,346148.877708227,NaN
400,8254064.57027184,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,6215720.46088452,86813.8071089102,341272.403673512,NaN,NaN,NaN,202533.702496838
500,NaN,NaN,NaN,NaN,NaN,117860.305065631,NaN,NaN
550,NaN,NaN,NaN,NaN,54718.7065642669,NaN,115679.036740101,NaN
600,1676430.79817972,NaN,NaN,210266.527752007,NaN,NaN,NaN,NaN
650,NaN,-78372.0678467145,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,118153.666191958,NaN,171781.458300668
750,3002897.25518583,NaN,45821.6816563763,93887.6077262526,44472.8717571992,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,119719.855519274,NaN
900,NaN,3150878.43176667,NaN,NaN,NaN,65038.8651685677,NaN,NaN
950,70518.3300988206,NaN,NaN,3423.52268543628,7723.237396796,NaN,NaN,96981.9731604957
1000,2154769.37995485,3731116.2014262,25176.7285803522,23986.0481563008,30117.1502845857,105884.707318471,86738.5170992124,NaN
1500,1085046.29737769,-1741221.42399245,6073.95286151691,39409.5901334568,-953.131706445849,-10262.6550570673,62017.8169815846,19491.7317961176
2000,-1571516.48163926,NaN,-15922.7876156821,-22833.2084060957,5997.86049130169,NaN,NaN,NaN
2500,635997.359559853,NaN,1154.88970179086,-44356.619268589,-11206.3087765268,NaN,NaN,NaN
3000,NaN,NaN,8009.08971408589,NaN,6456.35383356588,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,-8812.42940983741,NaN,NaN,NaN
4000,NaN,NaN,-7480.58657343746,NaN,NaN,NaN,NaN,NaN
