t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,20148464.6066006,21910227.3873643,-110500.737637851,-993004.732369733,-239558.547656721,719353.150789636,695239.55611141,27276.6072120051
35,NaN,8892218.42927752,3267760.53460421,14751956.5064673,3509034.44940662,11393453.4570762,10529284.6974786,NaN
40,3953588.76092577,NaN,NaN,NaN,NaN,NaN,NaN,10530456.7262869
70,NaN,7136972.91147752,NaN,9150892.71772494,3353457.69932369,6905709.54840619,7055219.80064975,NaN
75,NaN,NaN,2760234.64262894,NaN,NaN,NaN,NaN,NaN
80,2845861.88920425,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5113723.32125121
100,3817315.35241333,3905710.99877596,2566634.4374505,4271239.4962104,1672616.88011754,5059227.43790929,3151098.01838047,NaN
150,1090487.38755108,-309876.199010768,802130.972694724,2253732.70228118,910477.297955742,1233089.1478074,1324016.6329832,1244666.1824427
200,NaN,437106.342456168,753779.469454232,1887079.91373499,39905.4232129086,373896.412418528,1279448.50868994,634536.36241799
250,-716866.730890469,1322421.77500876,226890.647696492,-951502.040278067,349947.947189698,239172.135314584,103041.249936689,698732.796413284
300,1464421.94402279,230925.480545053,156649.164292505,80622.5465116238,-11733.7480970665,39372.3851745523,167386.125443134,-245269.074207259
350,540513.515364972,NaN,NaN,233889.700267052,-91151.0052164618,307809.21126111,-573961.523037074,114095.18401472
400,NaN,-1050496.86186486,24254.8546553494,-1643707.92038587,-83334.2150792466,NaN,176058.430048894,NaN
450,941870.06355581,NaN,NaN,-825589.693514331,NaN,289231.305263906,-198146.915974271,292871.738340144
500,NaN,NaN,-226331.835438146,NaN,-353666.429824804,731517.220029699,NaN,356936.499636305
550,NaN,NaN,NaN,-192033.303104434,NaN,NaN,-131229.063214793,NaN
600,NaN,NaN,81224.7659270077,NaN,261156.431112095,-974886.975989003,NaN,-465225.179903146
650,NaN,NaN,NaN,417913.743965732,NaN,NaN,-700832.25898515,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14116.7733587481
