t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,21271681.7149705,22977158.9839661,38484.6609398039,-550008.338041953,43695.9753029302,-144373.434807987,390828.544362589,16103.877286163
55,NaN,NaN,NaN,5199998.29420377,1147478.81225595,NaN,NaN,NaN
60,13822424.2927567,14242935.2256332,NaN,NaN,NaN,NaN,3408549.82776281,NaN
65,NaN,NaN,1197692.33897338,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,3692718.53457417,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3868533.35745336
100,9579166.26939256,11495763.4158261,NaN,4273380.66318877,1182028.00442488,NaN,3702418.34871624,NaN
150,NaN,NaN,965943.454159354,3809703.58206409,953461.666174166,2808786.64953158,NaN,2761786.66800307
200,5118122.57213476,6951848.28036329,750283.689082816,NaN,NaN,1515257.48157327,1534310.78604684,NaN
250,433325.627962242,4601057.50106121,417415.221759693,1110255.48451191,471280.45943931,NaN,1347851.4882148,1275771.64473514
300,NaN,2586262.88783004,NaN,1175805.76586264,582635.431772681,1068990.53944362,923366.81394582,849862.208950971
350,1038026.7475989,NaN,151809.415167911,NaN,NaN,NaN,NaN,NaN
400,-591455.298919084,1383899.19328456,NaN,85276.6600343304,137871.601355999,391202.921062062,262367.340592349,507303.963689123
450,NaN,NaN,182029.775575074,-262292.283972215,NaN,180440.950856727,NaN,NaN
500,-524061.702817836,-450173.986004565,NaN,NaN,-20363.5092440115,NaN,478808.811179708,512379.938461
550,NaN,NaN,69530.9350055766,644200.044922536,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,1419.9236482416,-244129.346432265,215360.263190101,NaN
650,-30472.2743817688,-184296.727353516,-16243.0805781317,NaN,NaN,NaN,NaN,322695.696163346
700,NaN,NaN,NaN,675266.456192959,NaN,-86617.0696893574,NaN,NaN
750,1154376.9102133,-2382015.37889495,NaN,NaN,135231.085239081,NaN,-259134.169176808,NaN
800,NaN,NaN,29240.1902185304,NaN,NaN,NaN,NaN,-176974.993157414
850,NaN,NaN,NaN,165395.039682161,NaN,-94583.6870180258,NaN,NaN
900,-1063205.22347088,NaN,NaN,NaN,NaN,NaN,139107.372572789,NaN
950,NaN,1082237.19578816,NaN,NaN,118505.55424298,NaN,NaN,NaN
1000,450053.215764724,NaN,187607.620737294,-408005.572955385,NaN,276477.504991559,-545258.672476127,390266.510144669
