t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,18200749.6410385,22027431.6299022,48.8363411444168,20068.5311991534,1489.61296611202,35079.0073359698,6984.43731185425,-23622.2149761513
150,16953325.628544,NaN,NaN,233228.58991932,NaN,NaN,NaN,157790.943105284
200,NaN,13543221.0323819,56033.6652372773,NaN,48226.0004405671,174217.760358707,174519.918016005,NaN
300,7498892.25081276,NaN,NaN,172260.745298798,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145646.367548464
400,NaN,6689707.52536117,38640.1058586294,NaN,42827.5688927623,93627.9061106192,94587.3106878476,NaN
500,8226506.95844712,NaN,NaN,127934.170251512,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78934.8417154132
600,NaN,1244680.50759865,22176.2373481431,NaN,22387.6723478623,NaN,48985.4315731222,NaN
650,NaN,NaN,NaN,72984.1057206493,NaN,37222.276200926,NaN,NaN
700,3567302.79786733,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73111.4642507395
850,NaN,4465095.86805726,14430.7895037539,32076.7870453406,6423.86185129214,NaN,43271.9914928428,NaN
900,NaN,NaN,NaN,NaN,NaN,25635.7842050726,NaN,NaN
950,4389191.58681187,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,2927593.87894789,3864987.53142247,16597.0666076156,67910.3150935976,7068.33494505951,27706.466934882,54229.7701521209,19446.4302808437
1500,-362101.698800226,926119.609855981,7395.37899500813,2034.12753736508,-6574.6341673434,-5828.10400360217,11789.6582397107,5585.19732440402
2000,NaN,-2123843.49590457,-6496.75686102181,-823.432003849004,-7771.02415468159,8031.36804390649,-11126.2853557561,NaN
2500,NaN,NaN,NaN,-29112.4473523847,NaN,NaN,NaN,NaN
3000,NaN,NaN,NaN,4084.33692665312,NaN,NaN,NaN,NaN
