t,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs
0,0,10.5250809558328,0.931876984350173
2,267.660702419436,NaN,NaN
3.5,NaN,10.9143616321871,1.46039867573778
4.5,908.558101248182,NaN,NaN
6.5,4335.24547021178,NaN,NaN
7,NaN,68.7280722321916,3.41096250532308
9.5,15830.6682794888,NaN,NaN
10,12503.7468601262,295.544115798187,1.97675747164369
15,1136.0239810718,922.616211535271,0.0345426492783441
20,162.348682687928,1397.89085432352,0.00524006329373098
25,30.9822000236653,1663.14556698318,0.00204664762504464
30,NaN,2254.60335058384,NaN
40,NaN,1716.92899086469,NaN
50,NaN,2289.72313079432,NaN
