t,PTP_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,40.2837074534259,0.00631476316689209,0.0147985247309884
5.5,38.2937312796163,NaN,NaN
10,37.5879095197173,0.0199526672068863,0.0142359317797957
15,35.2093983938289,NaN,NaN
25,33.1335798741841,0.098472968278499,0.0134617807088256
30,36.7128600849865,NaN,NaN
35,NaN,NaN,0.037124280873195
40,32.0817412310091,0.108493270514252,NaN
50,35.3066216525369,NaN,0.0830775753189782
55,NaN,0.0897245785507769,NaN
60,35.4095596196973,NaN,NaN
65,NaN,NaN,0.107692901748711
70,33.9820654239291,0.0585105084063921,NaN
85,NaN,NaN,0.0998191337839492
90,36.6065347842339,NaN,NaN
95,NaN,0.0455691513511369,NaN
100,NaN,0.0380379541174331,0.0751102816018409
150,NaN,0.0401594792139692,0.0405772028076338
