t,epo_level,SOCS3nRNA2_Obs
15,2.5e-09,0.00657089926682098
15,7.905e-09,0.0109708543181034
15,1.25e-08,0.00599138029519807
15,1.25e-08,0.0117173190981972
15,1.25e-08,0.0118553474653289
15,1.75e-08,0.0116602418191107
15,2.5e-08,0.0116970213033262
15,2.5e-08,0.0135141890303892
15,2.5e-08,0.0151192750826501
15,3.95e-08,0.0198474339170986
15,7.9e-08,0.0268103307702503
15,7.9e-08,0.0280245615889814
15,7.9e-08,0.0298117245943925
15,1.25e-07,0.0375466216492417
15,1.7675e-07,0.0435629641657159
15,1.7675e-07,0.0441492112420894
15,1.7675e-07,0.0510623259215707
15,2.5e-07,0.0526191754679304
15,7.905e-07,0.0667433112857651
15,7.905e-07,0.0708909368620359
15,7.905e-07,0.0714381854353246
15,2.5e-06,0.0782293890127123
