t,PTP_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,111.803233845402,0.00613899778968847,0.0111312062725996
3,134.422028123673,NaN,NaN
6.5,138.909295643992,NaN,NaN
8,NaN,0.0104397745441397,NaN
10,124.898655390025,NaN,0.0102507225495345
15,115.895437814339,0.0303783301265701,NaN
20,123.361903568849,NaN,NaN
25,124.299420795639,0.064558595194313,0.0161925639042715
30,119.873143188636,NaN,NaN
35,118.638520344874,0.0757546391614694,NaN
40,NaN,NaN,0.0413894357353367
45,127.259677694868,0.067871415287846,NaN
50,129.569110615516,NaN,NaN
55,NaN,NaN,0.0717539288065478
60,NaN,0.0518632205229436,NaN
70,NaN,NaN,0.0753677302805567
75,NaN,0.0402786247893616,NaN
90,NaN,0.0292559604902238,0.0618914235538101
100,NaN,0.0263730263058393,0.0535172813311179
150,NaN,0.0207754355074787,0.0274967860855108
200,NaN,NaN,0.031010377576223
