t,PTP_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,4.97268485648468,0.00098830837174456,0.00261727470074427
10,4.09760610359452,0.00111750699944417,0.00278762247099883
20,NaN,0.00124655482572016,0.00318594332082714
25,4.46860877667958,NaN,NaN
35,NaN,0.0010261641861562,0.00293267166114846
40,4.32628563308668,NaN,NaN
45,NaN,0.00107684529343495,0.00290619255483202
55,5.06859292348952,NaN,NaN
60,NaN,0.00102543968039416,NaN
65,NaN,NaN,0.00308125988274302
70,4.73169081716892,NaN,NaN
80,NaN,0.00100139828096023,0.00299261506163782
90,4.73243541309892,NaN,NaN
100,4.79224161769063,0.000883193609805991,0.00291245488562353
150,4.6891242009911,0.00115317446344229,0.00281852656967221
200,4.60633243561485,NaN,NaN
