t,EpoRJAK2_Obs,PTP_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,3.13849448531645,37.8575512572107,0.0133485027996082,0.00796266547399137,0.0121656419042218
4.5,NaN,35.2874899415124,NaN,NaN,NaN
9,NaN,35.8077489495928,NaN,NaN,NaN
15,2.56849009941405,37.7853540640436,NaN,NaN,NaN
20,NaN,32.6711592729807,0.0674029198059721,NaN,NaN
25,2.79060273385577,36.2853061252703,NaN,NaN,NaN
30,NaN,34.680307439358,NaN,NaN,NaN
35,NaN,NaN,NaN,0.0631886842196974,NaN
40,3.0029286644652,35.3620250746222,0.103772788027872,NaN,0.0545010075044221
45,NaN,39.7787801616459,NaN,NaN,NaN
55,3.16040272962738,35.777163818157,NaN,NaN,NaN
60,NaN,NaN,0.0789193757739051,NaN,NaN
65,NaN,36.1087725444007,NaN,NaN,NaN
75,3.07736433684458,NaN,NaN,0.07773280599775,NaN
80,NaN,NaN,NaN,NaN,0.106714533935341
85,NaN,NaN,0.0427002524403947,NaN,NaN
90,3.06878493298205,NaN,NaN,NaN,NaN
100,2.76867728834828,NaN,0.035482929583064,0.0467522431209083,0.0743499775576782
150,3.05415260309321,NaN,0.0393562208396796,0.034316696028602,0.0489071035234841
200,2.67944243601184,NaN,0.0497698958438681,0.0420167131827064,0.0528388195850652
250,3.0402257531445,NaN,0.0415829438863612,0.0387513174923085,NaN
300,NaN,NaN,0.0355249992985874,0.0359064840196161,0.0516302593184131
350,NaN,NaN,0.0402022171895849,NaN,0.0490930779010349
400,NaN,NaN,NaN,0.0403520725488669,0.0472971864570267
500,NaN,NaN,NaN,0.0387123507082906,0.0518862967136226
600,NaN,NaN,NaN,0.0341885020491109,NaN
650,NaN,NaN,NaN,NaN,0.0481213675901443
