t,epo_level,PTP_Obs,SOCS3nRNA2_Obs
5,2.5e-09,33.1292935805712,0.00824424251484815
5,2.5e-09,34.7300214269794,0.00843452634625144
5,2.5e-09,39.1503673834219,0.00838459800517541
5,2.5e-08,33.5313647942936,0.00886352551068371
5,2.5e-08,37.2670301873663,0.00825694836988665
5,2.5e-08,39.9375682267919,0.00907311141462534
5,2.5e-07,34.0215648620554,0.00989459862791199
5,2.5e-07,35.6599058870573,0.00835983800016873
5,2.5e-07,43.3613840482483,0.0104737136858317
5,2.5e-06,36.4289186890669,0.012275112207889
5,2.5e-06,37.7808672400155,0.0124682084310828
5,2.5e-06,37.9551561498268,0.012497147540914
5,2.5e-05,34.2450083275483,0.0148588517023821
5,2.5e-05,36.1328298237026,0.013505635033554
5,2.5e-05,36.5597520510055,0.0142138448628807
