t,PTP_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,36.1201243647639,0.0133239909327259,0.00766249197842401
4.5,32.4875862579986,NaN,NaN
6,NaN,0.00805287832795595,NaN
8.5,NaN,NaN,0.0143434487636107
9.5,35.5432601955018,NaN,NaN
10,NaN,0.0197019890322823,NaN
15,34.2123363840636,NaN,NaN
20,36.9681264442374,0.0639040459364687,0.00864013804734584
25,35.7103553113601,0.0936104176388643,0.0183185586130301
35,36.3554363741477,0.120711774306521,NaN
40,NaN,0.106419253001332,0.0571344668054548
45,40.3577296383784,NaN,NaN
50,NaN,0.0892267616920216,0.0926631417059354
55,36.1407444784714,NaN,NaN
65,NaN,0.0644169411771276,0.114981566939351
70,39.7939376877524,NaN,NaN
80,NaN,0.0456154169541696,0.0993739404321252
95,NaN,0.0430553465336826,0.0855068076771262
100,NaN,NaN,0.0711731343403496
150,NaN,NaN,0.039216757688211
