t,PTP_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,112.593786216084,0.00778548703180156,0.0079131796660321
3.5,138.256500444726,NaN,NaN
7.5,119.368525426177,NaN,NaN
8.5,NaN,0.00980537721444679,NaN
10,122.832325402167,NaN,NaN
15,119.641409955457,NaN,0.0138068477808379
20,138.993551351883,0.0508080681012626,NaN
25,133.996919894743,0.0613694647647689,0.0127974896946465
35,136.291740235493,0.0741833819182979,NaN
40,146.334104251372,NaN,0.0428146246514031
50,117.684740629982,0.0604132694570752,NaN
55,NaN,NaN,0.0684050338605937
60,NaN,0.0487859904114873,NaN
75,NaN,0.036580477322344,0.0710726359104644
95,NaN,0.0274883542877237,0.0566857874988285
100,NaN,0.0241714244685387,0.0502230427187546
150,NaN,0.0233603024109071,0.0309131687353406
200,NaN,NaN,0.0289909136572976
