t,epo_level,PTP_Obs,SOCS3nRNA2_Obs
5,0,4.27291302066483,0.000984615823510507
5,0,4.53460565788849,0.000999525305625134
5,4.2857e-08,4.59143257371121,0.00112516716169596
5,4.2857e-08,5.07053571426847,0.001035151743717
5,1.4286e-07,4.62831248746194,0.00105239300876416
5,1.4286e-07,4.79114384766593,0.00104243660074563
5,4.2857e-07,4.62257195333426,0.00111802946011936
5,4.2857e-07,4.9038550434002,0.00109194339113328
5,1.4286e-06,4.43024571840684,0.00104419739801176
5,1.4286e-06,4.89449797095252,0.00117506729818754
5,4.2857e-06,4.46926860736987,0.0011392221586656
5,4.2857e-06,4.62675533022252,0.00106412739124889
5,1.4286e-05,4.83275132971402,0.00110844502298235
5,1.4286e-05,4.86598210267688,0.00108682517719179
5,4.2857e-05,4.40053573364944,0.00110391289901438
5,4.2857e-05,4.43164435403444,0.00115984300440355
