t,PTP_Obs,CISHRNA_Obs
0,33.1119864105509,8.52950001381481e-05
6.5,40.0163921311291,NaN
15,36.0978868614755,NaN
20,37.8982355583039,6.49262363322215e-05
30,35.4544266456293,NaN
35,NaN,9.73843440043284e-05
40,36.9085041991076,NaN
50,36.5441740615192,NaN
55,NaN,0.000116129383146237
60,35.6617535816396,NaN
75,NaN,0.000106724729996074
80,34.1147839961233,NaN
100,NaN,0.000119697331256158
150,NaN,0.000103996824659742
200,NaN,9.81672864665368e-05
250,NaN,9.89840826346914e-05
300,NaN,0.000115802779740122
