t,EpoRJAK2_Obs,PTP_Obs,pSTAT5_Obs
0,3.26887869311105,36.4537846388391,-2.36582473218537
3.5,NaN,32.2024194710538,NaN
7.5,NaN,38.6848770444466,NaN
8,NaN,NaN,66.6497365075884
10,NaN,33.4893229894722,NaN
15,2.20421636132704,39.6841180801639,72.5858650436056
20,NaN,34.7504936748714,NaN
25,NaN,NaN,55.095908315806
30,2.81045550110914,31.1107755532927,NaN
35,NaN,35.7697871507205,42.3462439907485
45,2.7572101151214,37.9389930143422,42.5098761084056
60,2.66008646819329,NaN,47.2342993216947
75,NaN,NaN,46.5801800167243
80,2.68477237045171,NaN,NaN
95,NaN,NaN,40.5841145984348
100,2.65825957422981,NaN,44.6015071171985
150,2.66955536594542,NaN,NaN
200,2.92564330990759,NaN,NaN
