t,EpoRJAK2_Obs,PTP_Obs,pSTAT5_Obs
0,3.66599459911925,37.1809902105538,1.88585581359313
3.5,NaN,39.7130619279242,NaN
7.5,NaN,31.7302217887776,NaN
9.5,NaN,NaN,76.2424555874682
10,NaN,35.3489891209747,NaN
15,2.52178138265488,37.4877378715234,NaN
20,NaN,34.6019909668956,60.8610142935652
25,NaN,35.292000090894,NaN
30,NaN,NaN,46.1857560325692
35,2.59802150988482,35.9173550969439,NaN
40,NaN,34.8522189246772,NaN
45,NaN,NaN,38.0595872222602
50,2.63840627836727,NaN,NaN
55,NaN,NaN,41.6572571707549
70,2.51362961216028,NaN,NaN
75,NaN,NaN,52.3654914873791
90,2.83550514656612,NaN,42.9098576654364
100,2.93180552339345,NaN,45.7899242302059
150,2.7046832806957,NaN,45.7918117095329
200,2.68706872096307,NaN,NaN
250,2.9548680183213,NaN,NaN
