t,Compound_1_Obs,Compound_4_Obs
0,0.874156563426801,0.223489208025081
20,1.0359707115611,0.22415566948538
45,0.905852827406139,0.202221864857044
65,NaN,0.259823234707213
70,0.957643629761419,NaN
90,NaN,0.258307083634357
95,1.12156507176853,NaN
100,NaN,0.271006936496612
150,0.862113442830662,0.299692052512106
200,0.944866081767921,0.250779701246263
250,1.26006171612512,0.167144146440825
300,1.15097779949382,0.222265870643283
350,NaN,0.212426889956149
400,1.15478119665313,NaN
450,NaN,0.158911570576038
