t,Compound_1_Obs,Compound_4_Obs
0,1.11080839758706,0.157673808773761
20,0.99394842148766,0.207361178875967
35,NaN,0.291221642274792
45,0.982019730525548,NaN
55,NaN,0.261564523192729
70,1.0888117292166,NaN
75,NaN,0.211013839596321
95,0.965056482888014,NaN
100,0.9998993562577,0.21177113029266
150,1.17780109749598,0.238057790684611
200,1.08681955561537,0.254339233159397
250,1.1084010213386,0.276112404156554
300,1.20692245946687,0.270724879961421
350,1.15295326643535,0.279564956238277
450,NaN,0.20387015595684
