t,Compound_2_Obs,Compound_3_Obs
0,1.00347018932442,0.164167209858219
0.6,NaN,0.123224062777299
1,NaN,0.0529666620465767
2,NaN,0.146010380683815
2.5,NaN,0.0589075251458269
3,NaN,0.370273690394104
4,0.459671173126033,0.14333872784339
5,NaN,-0.293699448739851
5.5,NaN,-0.114306162460387
7,NaN,0.0541967421696885
8,0.52371490310544,0.0592355481396286
9.5,NaN,-0.0803751430467912
10,NaN,-0.0639528800536823
15,0.489544279718425,-0.120113333284275
20,0.505305965090912,-0.0648807334344956
25,0.47526419629466,-0.234671111354033
30,0.476819470211265,0.0907026386398185
