t,pAC_Fsk_Obs,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0971795668121738,0.705679362037903,-1.50148545414342,0.203524922129349
2.5,NaN,NaN,2.79257336100015,NaN
3,-0.105879774725386,NaN,NaN,NaN
4,NaN,1.07196173363568,NaN,NaN
5,NaN,NaN,4.51260100382028,NaN
6.5,0.0177350185628241,NaN,NaN,NaN
8,NaN,NaN,5.88332605361366,NaN
8.5,NaN,1.11834221481481,NaN,0.254988482490196
10,-0.129602301991274,NaN,11.0714397205787,NaN
15,0.00253266356267534,0.849889934153348,10.9687752813467,NaN
20,-0.152116706407304,0.869796697835974,8.47663622867008,0.332374456135517
25,0.289540257360102,1.00717549117295,11.3398994718993,NaN
30,-0.0488712334438455,0.953650187035641,12.1498177198597,0.272180763685869
40,NaN,NaN,NaN,0.337991705639525
55,NaN,NaN,NaN,0.258867868980579
70,NaN,NaN,NaN,0.361522922158447
