t,pAC_Fsk_Obs,AC_Fsk_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.232958841362737,-0.111770531870039,1.18726596377897,0.309064705625006
3,0.278960436303023,NaN,NaN,0.0579175065901141
4,NaN,-0.132267495863791,NaN,NaN
6.5,-0.155520038924869,NaN,1.02740633150292,0.00669382399147478
8.5,NaN,-0.0643457608128236,NaN,NaN
10,0.152238589299148,NaN,NaN,-0.354873660267448
15,0.0373031105160745,0.0471175314823932,1.15866678753373,-0.0226942643525207
20,0.0247993517937585,0.0282003200902079,1.13168386222188,0.489358412275895
25,0.0534994525028887,-0.00763111788891609,NaN,-0.145222421151004
30,-0.139662302871271,-0.00495436412367629,0.889833633577403,0.0125350098282709
40,NaN,0.262024310503466,1.14431570838153,NaN
