t,Compound_1_Obs,Compound_4_Obs
0,1.24097799844745,0.223614827059807
8.5,1.14669990787776,NaN
15,NaN,0.183701639703591
20,0.887588314917471,NaN
25,0.846691050915676,0.142456019720166
35,0.965545829680825,NaN
40,NaN,0.254969081405487
50,0.929056029978263,NaN
55,NaN,0.196844855264189
60,1.01070597390103,NaN
70,NaN,0.275767900033001
75,0.94694551315673,NaN
90,NaN,0.282084360056292
95,1.16406132981419,NaN
100,0.889732065633857,0.225950995787463
150,0.93112778123079,0.229155953758618
200,NaN,0.231544208585085
