t,Compound_1_Obs,Compound_4_Obs
0,1.02525049050927,0.260340848271378
20,0.968945977841594,0.187355761122055
45,0.743398323182954,0.17005556556539
65,NaN,0.233129762488603
70,0.754696443776092,NaN
90,NaN,0.294165837049214
95,0.784330852502784,NaN
100,NaN,0.338854433858545
150,1.05496570864653,0.206053217951548
200,1.24099143217928,0.327525980930768
250,1.13204358622908,0.281772885957001
300,1.29691460023795,0.220553025840851
350,NaN,0.216645028035771
400,0.845011545194847,NaN
450,NaN,0.298571232753425
