t,S2_Obs,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,geneH_Obs
0,84.9416770334008,83.7442829191646,0.424645111266566,0.0190777659497926,0.742264690609976
35,NaN,NaN,NaN,2.1672488634811,NaN
40,NaN,NaN,49.648350281433,NaN,NaN
50,24.1392259761231,NaN,NaN,NaN,NaN
60,NaN,26.7177843538215,NaN,NaN,NaN
75,NaN,NaN,NaN,2.97962864737368,1.36185206405846
80,NaN,NaN,21.6126174694694,NaN,NaN
100,49.047634544776,49.1804517403767,23.0334248008089,4.17011399467852,NaN
150,55.1004478408137,NaN,41.0565385428228,1.3955284385276,1.11672367913846
200,51.7017021355299,51.5431780629414,36.9993806630966,2.81893818241417,NaN
250,NaN,41.4046286947147,NaN,1.10933176595646,0.481348892847884
300,132.825997267587,82.2423787476179,15.00903353702,1.30584241575589,0.42786037560967
350,79.7891231273977,NaN,6.14681256335908,NaN,NaN
400,NaN,21.4107627959805,11.1955314023096,0.82069451341053,0.840005790827511
450,145.669478106383,NaN,NaN,0.387022757479245,NaN
500,NaN,49.1411475910879,4.92665343964203,NaN,NaN
550,301.817534606702,NaN,NaN,0.363531777266076,0.905812460906027
600,NaN,23.081079913376,1.92717850396535,NaN,NaN
650,243.057707959532,NaN,NaN,0.243875637500493,0.654897747931226
700,NaN,55.3709580624703,NaN,NaN,NaN
750,97.2958620299141,NaN,1.37542320515585,NaN,NaN
800,NaN,NaN,NaN,NaN,0.215657911478355
850,NaN,79.3354606063285,NaN,NaN,NaN
950,114.219731308688,NaN,NaN,NaN,NaN
1000,37.8218390787981,206.34425167497,NaN,NaN,1.17002690622676
1500,NaN,NaN,NaN,NaN,0.217307037657061
