t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneH_Obs
0,132.350070088862,2.18663798600249e-17,2.25903862638258e-17,3.85115325855982e-17,0.499330995460169
10,NaN,NaN,1.19272692070696e-17,8.15502035017488e-18,0.492558520720414
15,44.9818087193681,4.77257806932502e-18,NaN,NaN,NaN
20,NaN,NaN,2.56997534639391e-17,NaN,NaN
25,NaN,1.75573132282261e-17,NaN,2.83059449316038e-17,0.381643042797275
30,14.8839863795381,NaN,NaN,NaN,NaN
35,NaN,NaN,1.05446668438314e-17,NaN,0.405436482128101
40,NaN,5.1220178725123e-18,NaN,6.83641977929687e-18,NaN
50,23.2527899871723,NaN,2.50723298166325e-18,NaN,1.38572524991632
55,NaN,NaN,NaN,8.62428132801902e-18,NaN
60,NaN,1.23008321296141e-17,NaN,NaN,NaN
65,NaN,NaN,3.00080071880466e-18,NaN,1.20047140867678
70,80.8434445334073,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,7.04613356640991e-18,NaN
80,NaN,1.61355267972186e-17,NaN,NaN,NaN
85,NaN,NaN,2.03708819141303e-17,NaN,3.60653155532341
95,79.9955313750613,NaN,NaN,1.28307208230758e-17,NaN
100,NaN,1.86427689457476e-18,NaN,NaN,NaN
