t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneH_Obs
0,178.946394248458,1.85678601690908e-17,8.65698818228463e-18,7.20502862816866e-18,0.666053706958694
9.5,NaN,NaN,NaN,2.48890799106323e-18,NaN
10,242.81057495267,4.25855744750658e-18,6.7737890963068e-18,NaN,0.755800291720477
20,NaN,NaN,NaN,1.07505938559576e-17,NaN
25,274.485483934849,2.49940440509179e-18,2.21837011106028e-17,NaN,0.793426762320807
30,NaN,NaN,NaN,4.60949144008961e-18,NaN
35,576.982372330194,NaN,8.62441065639635e-18,NaN,NaN
40,NaN,5.09770514108798e-18,NaN,NaN,0.806242721624395
45,NaN,NaN,NaN,4.29588907465203e-18,NaN
50,212.381445304404,NaN,1.72890662757921e-17,NaN,NaN
55,NaN,1.77330304065207e-17,NaN,NaN,1.41310535517416
60,NaN,NaN,NaN,3.69209944468403e-18,NaN
65,106.970104812794,NaN,NaN,NaN,NaN
70,NaN,1.96258478078615e-18,6.73020172966375e-17,NaN,1.5496330677808
75,NaN,NaN,NaN,1.54500337989655e-17,NaN
85,614.56493990409,NaN,NaN,NaN,NaN
90,NaN,NaN,1.03550952024339e-17,NaN,2.23915185145819
95,NaN,1.41373281656209e-17,NaN,NaN,NaN
