t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneH_Obs
0,164.350083933911,0.0135966693109585,0.0492736730095015,0.198916324681944,0.786188653555612
40,NaN,NaN,2.81801118155273,NaN,NaN
45,NaN,84.0378496038348,NaN,NaN,NaN
60,104.748415789064,NaN,NaN,NaN,0.895769282078929
70,NaN,NaN,NaN,5.10119771031348,NaN
85,NaN,NaN,11.3348276669902,NaN,NaN
95,NaN,11.7210386496803,NaN,NaN,NaN
100,59.90012387375,NaN,NaN,NaN,NaN
150,NaN,11.3365819549897,3.23213458697258,2.85304290683722,0.28465311311652
200,723.319532717268,4.34250927800761,4.52257831212947,1.56493912406671,0.298000719838164
250,74.7154851092043,5.11627419478118,1.28640832607706,NaN,2.00026678320624
300,NaN,6.53385428558949,0.918000767658442,11.628824049746,NaN
350,421.987244665922,NaN,NaN,NaN,0.650525136894768
400,NaN,2.29743308719764,1.69960230690312,3.14443922498601,0.600793004703646
450,143.408477590378,NaN,NaN,2.73417111945523,NaN
500,NaN,0.19908623995294,NaN,NaN,0.401957246195997
550,420.063799158332,0.665133057567785,NaN,NaN,NaN
600,NaN,NaN,NaN,6.5488419019688,0.698887436763184
650,156.557741438339,NaN,NaN,NaN,NaN
700,NaN,0.084821741507098,NaN,2.62363378291107,NaN
750,NaN,NaN,NaN,NaN,1.35190145607243
800,141.223258174414,0.375231005645079,NaN,NaN,NaN
850,NaN,NaN,NaN,6.06892085393089,1.43627047196292
950,191.316725760677,NaN,NaN,NaN,NaN
1000,182.801176821376,0.0195034650694334,NaN,4.32994083313868,0.269882590357121
1500,NaN,NaN,NaN,4.45789646755304,1.03097638251596
