t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneH_Obs
0,78.4521635442723,0.0094358843161681,0.0051814218624393,0.572757835112649,2.30940058785885
45,NaN,NaN,1.44792815666063,NaN,NaN
60,NaN,6.46880653443688,NaN,NaN,NaN
65,123.13770143975,NaN,NaN,2.08232966785294,NaN
80,NaN,NaN,NaN,NaN,0.67170483585915
90,NaN,NaN,25.3047316256019,NaN,NaN
100,NaN,4.76864914225569,NaN,NaN,NaN
150,20.5231674974452,NaN,7.02927399653698,3.25050645743305,5.37399962925804
200,43.5234290243382,11.3783281141167,4.41559962803992,10.3349896205523,NaN
250,41.6596693368823,4.35304857998219,25.8909472014164,NaN,0.3274312683769
300,NaN,NaN,4.00026190678112,6.43851054151594,NaN
350,25.1118796463583,0.479428548153343,NaN,17.9759100564979,0.762759576049821
400,NaN,1.38464086356152,1.33290912566859,NaN,NaN
450,69.7455682079584,NaN,1.63657098087161,11.311389009388,3.59284124660935
500,NaN,0.615141088823945,NaN,NaN,NaN
550,32.0719297232055,NaN,NaN,28.6289447655302,0.801995690894323
600,NaN,0.459470400068132,0.640384181476358,NaN,NaN
650,52.1181869345978,NaN,NaN,NaN,0.395599834437216
700,NaN,NaN,0.692354418856397,19.2075287789521,NaN
750,80.9347309839077,1.73660409584629,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,0.491991157651321
850,NaN,NaN,0.0895137854438592,10.19011643554,NaN
900,195.60821290569,0.102214358933639,NaN,NaN,NaN
1000,68.9359765225263,0.143576980379642,NaN,6.58028909057118,1.33330513431313
1500,107.466383265934,NaN,NaN,3.86839535179575,0.423622999449303
