t,S2_Obs,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,geneH_Obs
0,1031.06680970759,63.7003526946649,0.121433194682432,0.00298502738095603,0.979105387053487
30,NaN,NaN,65.8226656239944,NaN,NaN
45,NaN,23.9910208621188,NaN,NaN,0.677173489918366
50,NaN,NaN,NaN,2.82561471295049,NaN
60,217.20953354744,NaN,184.35408167474,NaN,NaN
90,NaN,35.3605137104228,209.573707927274,NaN,0.508914298104509
100,52.1234238031666,NaN,110.593759645231,5.57172862850961,NaN
150,NaN,11.1780097833092,27.9425163741898,3.42788452868243,1.2028484079079
200,57.4560662368507,34.1472464119978,60.5946307162623,10.56552767777,0.337985600014532
250,146.539926317254,11.4633378385809,78.2091135467149,3.8018071649608,0.710645732800374
300,NaN,30.7777969764101,137.49307229703,NaN,NaN
350,282.559591581896,NaN,NaN,3.98852111715005,0.400898899492198
400,96.722991640314,20.8291621020826,13.8235104845696,NaN,0.289584723023999
450,NaN,NaN,8.01553676583312,0.410588535163308,NaN
500,129.085643671944,23.7015989040261,NaN,NaN,NaN
550,NaN,NaN,3.62288252215171,0.199145648548832,0.121646810477204
600,503.521260487125,61.6190829739468,NaN,NaN,NaN
650,NaN,NaN,NaN,0.055178923649531,0.638584707120584
700,580.895211845561,76.063902005301,NaN,NaN,NaN
800,NaN,NaN,NaN,0.0100575944757704,NaN
850,738.306161870958,101.121166521092,NaN,NaN,NaN
1000,379.515681563083,NaN,NaN,NaN,NaN
1500,599.943649289013,NaN,NaN,NaN,NaN
