t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneH_Obs
0,60.7497649027837,1.28406074833184e-17,5.09653884986938e-18,7.09823648037353e-18,0.857973129380127
8.5,NaN,NaN,NaN,NaN,0.401127942322364
9.5,NaN,2.02261357275728e-17,NaN,NaN,NaN
10,61.3794966555176,NaN,5.94779814588078e-18,1.10150426092966e-17,NaN
20,NaN,1.19719472126364e-17,9.64153528655659e-18,NaN,0.22334749955822
25,97.9618802762986,NaN,NaN,4.63444085090946e-18,0.545217647253699
30,NaN,4.62214893485853e-18,1.55070725194194e-17,NaN,NaN
35,49.278622098493,NaN,NaN,4.30189355880054e-18,NaN
40,NaN,NaN,NaN,NaN,0.286937692425793
45,NaN,2.77169828899683e-17,2.71177480562375e-17,NaN,NaN
50,39.8689103522432,NaN,NaN,2.67014941540603e-17,1.49834010999826
60,NaN,2.81922158506995e-17,9.60794281775006e-19,NaN,NaN
65,34.3419645168059,NaN,NaN,NaN,0.267601246474692
70,NaN,NaN,NaN,8.96937396003847e-18,NaN
75,NaN,1.98715858348876e-17,7.90464635811167e-18,NaN,NaN
80,NaN,NaN,NaN,NaN,0.679601302284957
85,46.1403306761305,NaN,NaN,2.53216219807532e-17,NaN
