t,S4_Obs,ppS2_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneH_Obs
0,64.7264724263637,6.42929778109987e-18,2.61968058090167e-17,1.65123891978668e-17,2.12031853033643
9.5,NaN,NaN,NaN,7.5245156415586e-18,NaN
10,576.428934641899,9.1611041692749e-18,NaN,NaN,1.06893764038694
15,NaN,NaN,3.11915792686642e-18,NaN,NaN
20,NaN,NaN,NaN,6.86614886232703e-18,NaN
25,85.1288994433227,7.49925623180122e-18,NaN,NaN,0.121845319097854
30,NaN,NaN,2.10034993529589e-17,3.17763296765085e-17,NaN
35,91.5695994383807,NaN,NaN,NaN,NaN
40,NaN,5.68838954899299e-18,NaN,NaN,0.474429956818617
45,NaN,NaN,5.33817173068832e-18,4.47765821313872e-18,NaN
50,191.79661976134,NaN,NaN,NaN,NaN
55,NaN,4.57708570296112e-18,NaN,3.62977567833582e-17,0.784486565415258
65,NaN,NaN,4.32260521353119e-17,NaN,NaN
70,65.2292716809088,7.48211663442387e-18,NaN,NaN,NaN
75,NaN,NaN,NaN,4.01990525610058e-18,2.16697448389148
90,37.5398071554434,NaN,1.65068786691578e-17,NaN,NaN
95,NaN,2.90971161161244e-18,NaN,NaN,NaN
100,NaN,NaN,4.55075002586414e-18,NaN,0.339048705019966
